Date,Company,Price
2025-01-02,BAIN,108.79
2025-01-03,BAIN,108.81
2025-01-06,BAIN,108.83
2025-01-07,BAIN,108.86
2025-01-08,BAIN,108.88
2025-01-09,BAIN,108.9
2025-01-10,BAIN,108.92
2025-01-13,BAIN,108.94
2025-01-14,BAIN,108.97
2025-01-15,BAIN,108.99
2025-01-16,BAIN,108.79
2025-01-17,BAIN,108.81
2025-01-20,BAIN,108.83
2025-01-21,BAIN,108.86
2025-01-22,BAIN,108.88
2025-01-23,BAIN,108.9
2025-01-24,BAIN,108.92
2025-01-27,BAIN,108.94
2025-01-28,BAIN,108.97
2025-01-29,BAIN,108.99
2025-01-30,BAIN,108.79
2025-01-31,BAIN,108.81
2025-02-03,BAIN,108.83
2025-02-04,BAIN,108.86
2025-02-05,BAIN,108.88
2025-02-06,BAIN,108.9
2025-02-07,BAIN,108.92
2025-02-10,BAIN,108.94
2025-02-11,BAIN,108.97
2025-02-12,BAIN,108.99
2025-02-13,BAIN,108.79
2025-02-14,BAIN,108.81
2025-02-17,BAIN,108.83
2025-02-18,BAIN,108.86
2025-02-19,BAIN,108.88
2025-02-20,BAIN,108.9
2025-02-21,BAIN,108.92
2025-02-24,BAIN,108.94
2025-02-25,BAIN,108.97
2025-02-26,BAIN,108.99
2025-02-27,BAIN,108.79
2025-02-28,BAIN,108.81
2025-03-03,BAIN,108.83
2025-03-04,BAIN,108.86
2025-03-05,BAIN,108.88
2025-03-06,BAIN,108.9
2025-03-07,BAIN,108.92
2025-03-10,BAIN,108.94
2025-03-11,BAIN,108.97
2025-03-12,BAIN,108.99
2025-03-13,BAIN,108.79
2025-03-14,BAIN,108.81
2025-03-17,BAIN,108.83
2025-03-18,BAIN,108.86
2025-03-19,BAIN,108.88
2025-03-20,BAIN,108.9
2025-03-21,BAIN,108.92
2025-03-24,BAIN,108.94
2025-03-25,BAIN,108.97
2025-03-26,BAIN,108.99
2025-03-27,BAIN,108.79
2025-03-28,BAIN,108.81
2025-03-31,BAIN,108.83
2025-04-01,BAIN,108.86
2025-04-02,BAIN,108.88
2025-04-03,BAIN,108.9
2025-04-04,BAIN,108.92
2025-04-07,BAIN,108.94
2025-04-08,BAIN,108.97
2025-04-09,BAIN,108.99
2025-04-10,BAIN,108.79
2025-04-11,BAIN,108.81
2025-04-14,BAIN,108.83
2025-04-15,BAIN,108.86
2025-04-16,BAIN,108.88
2025-04-17,BAIN,108.9
2025-04-18,BAIN,108.92
2025-04-21,BAIN,108.94
2025-04-22,BAIN,108.97
2025-04-23,BAIN,108.99
2025-04-24,BAIN,108.79
2025-04-25,BAIN,108.81
2025-04-28,BAIN,108.83
2025-04-29,BAIN,108.86
2025-04-30,BAIN,108.88
2025-05-01,BAIN,108.9
2025-05-02,BAIN,108.92
2025-05-05,BAIN,108.94
2025-05-06,BAIN,108.97
2025-05-07,BAIN,108.99
2025-05-08,BAIN,108.79
2025-05-09,BAIN,108.81
2025-05-12,BAIN,108.83
2025-05-13,BAIN,108.86
