Date,Company,Price
2025-01-02,BCG,115.11
2025-01-03,BCG,115.14
2025-01-06,BCG,115.16
2025-01-07,BCG,115.18
2025-01-08,BCG,115.21
2025-01-09,BCG,115.23
2025-01-10,BCG,115.25
2025-01-13,BCG,115.28
2025-01-14,BCG,115.3
2025-01-15,BCG,115.32
2025-01-16,BCG,115.11
2025-01-17,BCG,115.14
2025-01-20,BCG,115.16
2025-01-21,BCG,115.18
2025-01-22,BCG,115.21
2025-01-23,BCG,115.23
2025-01-24,BCG,115.25
2025-01-27,BCG,115.28
2025-01-28,BCG,115.3
2025-01-29,BCG,115.32
2025-01-30,BCG,115.11
2025-01-31,BCG,115.14
2025-02-03,BCG,115.16
2025-02-04,BCG,115.18
2025-02-05,BCG,115.21
2025-02-06,BCG,115.23
2025-02-07,BCG,115.25
2025-02-10,BCG,115.28
2025-02-11,BCG,115.3
2025-02-12,BCG,115.32
2025-02-13,BCG,115.11
2025-02-14,BCG,115.14
2025-02-17,BCG,115.16
2025-02-18,BCG,115.18
2025-02-19,BCG,115.21
2025-02-20,BCG,115.23
2025-02-21,BCG,115.25
2025-02-24,BCG,115.28
2025-02-25,BCG,115.3
2025-02-26,BCG,115.32
2025-02-27,BCG,115.11
2025-02-28,BCG,115.14
2025-03-03,BCG,115.16
2025-03-04,BCG,115.18
2025-03-05,BCG,115.21
2025-03-06,BCG,115.23
2025-03-07,BCG,115.25
2025-03-10,BCG,115.28
2025-03-11,BCG,115.3
2025-03-12,BCG,115.32
2025-03-13,BCG,115.11
2025-03-14,BCG,115.14
2025-03-17,BCG,115.16
2025-03-18,BCG,115.18
2025-03-19,BCG,115.21
2025-03-20,BCG,115.23
2025-03-21,BCG,115.25
2025-03-24,BCG,115.28
2025-03-25,BCG,115.3
2025-03-26,BCG,115.32
2025-03-27,BCG,115.11
2025-03-28,BCG,115.14
2025-03-31,BCG,115.16
2025-04-01,BCG,115.18
2025-04-02,BCG,115.21
2025-04-03,BCG,115.23
2025-04-04,BCG,115.25
2025-04-07,BCG,115.28
2025-04-08,BCG,115.3
2025-04-09,BCG,115.32
2025-04-10,BCG,115.11
2025-04-11,BCG,115.14
2025-04-14,BCG,115.16
2025-04-15,BCG,115.18
2025-04-16,BCG,115.21
2025-04-17,BCG,115.23
2025-04-18,BCG,115.25
2025-04-21,BCG,115.28
2025-04-22,BCG,115.3
2025-04-23,BCG,115.32
2025-04-24,BCG,115.11
2025-04-25,BCG,115.14
2025-04-28,BCG,115.16
2025-04-29,BCG,115.18
2025-04-30,BCG,115.21
2025-05-01,BCG,115.23
2025-05-02,BCG,115.25
2025-05-05,BCG,115.28
2025-05-06,BCG,115.3
2025-05-07,BCG,115.32
2025-05-08,BCG,115.11
2025-05-09,BCG,115.14
2025-05-12,BCG,115.16
2025-05-13,BCG,115.18
2025-05-14,BCG,115.21
2025-05-15,BCG,115.23
2025-05-16,BCG,115.25
2025-05-19,BCG,115.28
2025-05-20,BCG,115.3
2025-05-21,BCG,115.32
2025-05-22,BCG,115.11
2025-05-23,BCG,115.14
2025-05-26,BCG,115.16
2025-05-27,BCG,115.18
2025-05-28,BCG,115.21
2025-05-29,BCG,115.23
2025-05-30,BCG,115.25
2025-06-02,BCG,115.28
2025-06-03,BCG,115.3
2025-06-04,BCG,115.32
2025-06-05,BCG,115.11
2025-06-06,BCG,115.14
2025-06-09,BCG,115.16
2025-06-10,BCG,115.18
2025-06-11,BCG,115.21
2025-06-12,BCG,115.23
2025-06-13,BCG,115.25
2025-06-16,BCG,115.28
2025-06-17,BCG,115.3
2025-06-18,BCG,115.32
2025-06-19,BCG,115.11
2025-06-20,BCG,115.14
2025-06-23,BCG,115.16
2025-06-24,BCG,115.18
2025-06-25,BCG,115.21
2025-06-26,BCG,115.23
2025-06-27,BCG,115.25
2025-06-30,BCG,115.28
2025-07-01,BCG,115.3
2025-07-02,BCG,115.32
2025-07-03,BCG,115.11
2025-07-04,BCG,115.14
2025-07-07,BCG,115.16
2025-07-08,BCG,115.18
2025-07-09,BCG,115.21
2025-07-10,BCG,115.23
2025-07-11,BCG,115.25
2025-07-14,BCG,115.28
2025-07-15,BCG,115.3
2025-07-16,BCG,115.32
2025-07-17,BCG,115.11
2025-07-18,BCG,115.14
2025-07-21,BCG,115.16
2025-07-22,BCG,115.18
2025-07-23,BCG,115.21
2025-07-24,BCG,115.23
2025-07-25,BCG,115.25
2025-07-28,BCG,115.28
2025-07-29,BCG,115.3
2025-07-30,BCG,115.32
2025-07-31,BCG,115.11
2025-08-01,BCG,115.14
2025-08-04,BCG,115.16
2025-08-05,BCG,115.18
2025-08-06,BCG,115.21
2025-08-07,BCG,115.23
2025-08-08,BCG,115.25
2025-08-11,BCG,115.28
2025-08-12,BCG,115.3
2025-08-13,BCG,115.32
2025-08-14,BCG,115.11
2025-08-15,BCG,115.14
2025-08-18,BCG,115.16
2025-08-19,BCG,115.18
2025-08-20,BCG,115.21
2025-08-21,BCG,115.23
2025-08-22,BCG,115.25
2025-08-25,BCG,115.28
2025-08-26,BCG,115.3
2025-08-27,BCG,115.32
2025-08-28,BCG,115.11
2025-08-29,BCG,115.14
2025-09-01,BCG,115.16
2025-09-02,BCG,115.18
2025-09-03,BCG,115.21
2025-09-04,BCG,115.23
2025-09-05,BCG,115.25
2025-09-08,BCG,115.28
2025-09-09,BCG,115.3
2025-09-10,BCG,115.32
2025-09-11,BCG,115.11
2025-09-12,BCG,115.14
2025-09-15,BCG,115.16
2025-09-16,BCG,115.18
2025-09-17,BCG,115.21
2025-09-18,BCG,115.23
2025-09-19,BCG,115.25
2025-09-22,BCG,115.28
2025-09-23,BCG,115.3
2025-09-24,BCG,115.32
2025-09-25,BCG,115.11
2025-09-26,BCG,115.14
2025-09-29,BCG,115.16
2025-09-30,BCG,115.18
2025-10-01,BCG,115.21
2025-10-02,BCG,115.23
2025-10-03,BCG,115.25
2025-10-06,BCG,115.28
2025-10-07,BCG,115.3
2025-10-08,BCG,115.32
2025-10-09,BCG,115.11
2025-10-10,BCG,115.14
2025-10-13,BCG,115.16
2025-10-14,BCG,115.18
2025-10-15,BCG,115.21
2025-10-16,BCG,115.23
2025-10-17,BCG,115.25
2025-10-20,BCG,115.28
2025-10-21,BCG,115.3
2025-10-22,BCG,115.32
2025-10-23,BCG,115.11
2025-10-24,BCG,115.14
2025-10-27,BCG,115.16
2025-10-28,BCG,115.18
2025-10-29,BCG,115.21
2025-10-30,BCG,115.23
2025-10-31,BCG,115.25
2025-11-03,BCG,115.28
2025-11-04,BCG,115.3
2025-11-05,BCG,115.32
2025-11-06,BCG,115.11
2025-11-07,BCG,115.14
2025-11-10,BCG,115.16
2025-11-11,BCG,115.18
2025-11-12,BCG,115.21
2025-11-13,BCG,115.23
2025-11-14,BCG,115.25
2025-11-17,BCG,115.28
2025-11-18,BCG,115.3
2025-11-19,BCG,115.32
2025-11-20,BCG,115.11
2025-11-21,BCG,115.14
2025-11-24,BCG,115.16
2025-11-25,BCG,115.18
2025-11-26,BCG,115.21
2025-11-27,BCG,115.23
2025-11-28,BCG,115.25
2025-12-01,BCG,115.28
2025-12-02,BCG,115.3
2025-12-03,BCG,115.32
2025-12-04,BCG,115.11
2025-12-05,BCG,115.14
2025-12-08,BCG,115.16
2025-12-09,BCG,115.18
2025-12-10,BCG,115.21
2025-12-11,BCG,115.23
2025-12-12,BCG,115.25
2025-12-15,BCG,115.28
2025-12-16,BCG,115.3
2025-12-17,BCG,115.32
2025-12-18,BCG,115.11
2025-12-19,BCG,115.14
2025-12-22,BCG,115.16
2025-12-23,BCG,115.18
2025-12-24,BCG,115.21
2025-12-25,BCG,115.23
2025-12-26,BCG,115.25
2025-12-29,BCG,115.28
2025-12-30,BCG,115.3
2025-12-31,BCG,115.32
