Date,Company,Price
2025-01-02,EY,110.67
2025-01-03,EY,110.69
2025-01-06,EY,110.71
2025-01-07,EY,110.74
2025-01-08,EY,110.76
2025-01-09,EY,110.78
2025-01-10,EY,110.8
2025-01-13,EY,110.82
2025-01-14,EY,110.85
2025-01-15,EY,110.87
2025-01-16,EY,110.67
2025-01-17,EY,110.69
2025-01-20,EY,110.71
2025-01-21,EY,110.74
2025-01-22,EY,110.76
2025-01-23,EY,110.78
2025-01-24,EY,110.8
2025-01-27,EY,110.82
2025-01-28,EY,110.85
2025-01-29,EY,110.87
2025-01-30,EY,110.67
2025-01-31,EY,110.69
2025-02-03,EY,110.71
2025-02-04,EY,110.74
2025-02-05,EY,110.76
2025-02-06,EY,110.78
2025-02-07,EY,110.8
2025-02-10,EY,110.82
2025-02-11,EY,110.85
2025-02-12,EY,110.87
2025-02-13,EY,110.67
2025-02-14,EY,110.69
2025-02-17,EY,110.71
2025-02-18,EY,110.74
2025-02-19,EY,110.76
2025-02-20,EY,110.78
2025-02-21,EY,110.8
2025-02-24,EY,110.82
2025-02-25,EY,110.85
2025-02-26,EY,110.87
2025-02-27,EY,110.67
2025-02-28,EY,110.69
2025-03-03,EY,110.71
2025-03-04,EY,110.74
2025-03-05,EY,110.76
2025-03-06,EY,110.78
2025-03-07,EY,110.8
2025-03-10,EY,110.82
2025-03-11,EY,110.85
2025-03-12,EY,110.87
2025-03-13,EY,110.67
2025-03-14,EY,110.69
2025-03-17,EY,110.71
2025-03-18,EY,110.74
2025-03-19,EY,110.76
2025-03-20,EY,110.78
2025-03-21,EY,110.8
2025-03-24,EY,110.82
2025-03-25,EY,110.85
2025-03-26,EY,110.87
2025-03-27,EY,110.67
2025-03-28,EY,110.69
2025-03-31,EY,110.71
2025-04-01,EY,110.74
2025-04-02,EY,110.76
2025-04-03,EY,110.78
2025-04-04,EY,110.8
2025-04-07,EY,110.82
2025-04-08,EY,110.85
2025-04-09,EY,110.87
2025-04-10,EY,110.67
2025-04-11,EY,110.69
2025-04-14,EY,110.71
2025-04-15,EY,110.74
2025-04-16,EY,110.76
2025-04-17,EY,110.78
2025-04-18,EY,110.8
2025-04-21,EY,110.82
2025-04-22,EY,110.85
2025-04-23,EY,110.87
2025-04-24,EY,110.67
2025-04-25,EY,110.69
2025-04-28,EY,110.71
2025-04-29,EY,110.74
2025-04-30,EY,110.76
2025-05-01,EY,110.78
