Date,Company,Price
2025-01-02,KPMG,105.56
2025-01-03,KPMG,105.59
2025-01-06,KPMG,105.61
2025-01-07,KPMG,105.63
2025-01-08,KPMG,105.65
2025-01-09,KPMG,105.67
2025-01-10,KPMG,105.69
2025-01-13,KPMG,105.71
2025-01-14,KPMG,105.73
2025-01-15,KPMG,105.75
2025-01-16,KPMG,105.56
2025-01-17,KPMG,105.59
2025-01-20,KPMG,105.61
2025-01-21,KPMG,105.63
2025-01-22,KPMG,105.65
2025-01-23,KPMG,105.67
2025-01-24,KPMG,105.69
2025-01-27,KPMG,105.71
2025-01-28,KPMG,105.73
2025-01-29,KPMG,105.75
2025-01-30,KPMG,105.56
2025-01-31,KPMG,105.59
2025-02-03,KPMG,105.61
2025-02-04,KPMG,105.63
2025-02-05,KPMG,105.65
2025-02-06,KPMG,105.67
2025-02-07,KPMG,105.69
2025-02-10,KPMG,105.71
2025-02-11,KPMG,105.73
2025-02-12,KPMG,105.75
2025-02-13,KPMG,105.56
2025-02-14,KPMG,105.59
2025-02-17,KPMG,105.61
2025-02-18,KPMG,105.63
2025-02-19,KPMG,105.65
2025-02-20,KPMG,105.67
2025-02-21,KPMG,105.69
2025-02-24,KPMG,105.71
2025-02-25,KPMG,105.73
2025-02-26,KPMG,105.75
2025-02-27,KPMG,105.56
2025-02-28,KPMG,105.59
2025-03-03,KPMG,105.61
2025-03-04,KPMG,105.63
2025-03-05,KPMG,105.65
2025-03-06,KPMG,105.67
2025-03-07,KPMG,105.69
2025-03-10,KPMG,105.71
2025-03-11,KPMG,105.73
2025-03-12,KPMG,105.75
2025-03-13,KPMG,105.56
2025-03-14,KPMG,105.59
2025-03-17,KPMG,105.61
2025-03-18,KPMG,105.63
2025-03-19,KPMG,105.65
2025-03-20,KPMG,105.67
2025-03-21,KPMG,105.69
2025-03-24,KPMG,105.71
2025-03-25,KPMG,105.73
2025-03-26,KPMG,105.75
2025-03-27,KPMG,105.56
2025-03-28,KPMG,105.59
2025-03-31,KPMG,105.61
2025-04-01,KPMG,105.63
2025-04-02,KPMG,105.65
2025-04-03,KPMG,105.67
2025-04-04,KPMG,105.69
2025-04-07,KPMG,105.71
2025-04-08,KPMG,105.73
2025-04-09,KPMG,105.75
2025-04-10,KPMG,105.56
2025-04-11,KPMG,105.59
2025-04-14,KPMG,105.61
2025-04-15,KPMG,105.63
2025-04-16,KPMG,105.65
2025-04-17,KPMG,105.67
2025-04-18,KPMG,105.69
2025-04-21,KPMG,105.71
2025-04-22,KPMG,105.73
2025-04-23,KPMG,105.75
2025-04-24,KPMG,105.56
2025-04-25,KPMG,105.59
2025-04-28,KPMG,105.61
2025-04-29,KPMG,105.63
2025-04-30,KPMG,105.65
2025-05-01,KPMG,105.67
2025-05-02,KPMG,105.69
2025-05-05,KPMG,105.71
2025-05-06,KPMG,105.73
2025-05-07,KPMG,105.75
2025-05-08,KPMG,105.56
2025-05-09,KPMG,105.59
2025-05-12,KPMG,105.61
2025-05-13,KPMG,105.63
2025-05-14,KPMG,105.65
2025-05-15,KPMG,105.67
2025-05-16,KPMG,105.69
2025-05-19,KPMG,105.71
2025-05-20,KPMG,105.73
2025-05-21,KPMG,105.75
2025-05-22,KPMG,105.56
2025-05-23,KPMG,105.59
2025-05-26,KPMG,105.61
2025-05-27,KPMG,105.63
2025-05-28,KPMG,105.65
2025-05-29,KPMG,105.67
2025-05-30,KPMG,105.69
2025-06-02,KPMG,105.71
2025-06-03,KPMG,105.73
2025-06-04,KPMG,105.75
2025-06-05,KPMG,105.56
2025-06-06,KPMG,105.59
2025-06-09,KPMG,105.61
2025-06-10,KPMG,105.63
2025-06-11,KPMG,105.65
2025-06-12,KPMG,105.67
2025-06-13,KPMG,105.69
2025-06-16,KPMG,105.71
2025-06-17,KPMG,105.73
2025-06-18,KPMG,105.75
2025-06-19,KPMG,105.56
2025-06-20,KPMG,105.59
2025-06-23,KPMG,105.61
2025-06-24,KPMG,105.63
2025-06-25,KPMG,105.65
2025-06-26,KPMG,105.67
2025-06-27,KPMG,105.69
2025-06-30,KPMG,105.71
2025-07-01,KPMG,105.73
2025-07-02,KPMG,105.75
2025-07-03,KPMG,105.56
2025-07-04,KPMG,105.59
2025-07-07,KPMG,105.61
2025-07-08,KPMG,105.63
2025-07-09,KPMG,105.65
2025-07-10,KPMG,105.67
2025-07-11,KPMG,105.69
2025-07-14,KPMG,105.71
2025-07-15,KPMG,105.73
2025-07-16,KPMG,105.75
2025-07-17,KPMG,105.56
2025-07-18,KPMG,105.59
2025-07-21,KPMG,105.61
2025-07-22,KPMG,105.63
2025-07-23,KPMG,105.65
2025-07-24,KPMG,105.67
2025-07-25,KPMG,105.69
2025-07-28,KPMG,105.71
2025-07-29,KPMG,105.73
2025-07-30,KPMG,105.75
2025-07-31,KPMG,105.56
2025-08-01,KPMG,105.59
2025-08-04,KPMG,105.61
2025-08-05,KPMG,105.63
2025-08-06,KPMG,105.65
2025-08-07,KPMG,105.67
2025-08-08,KPMG,105.69
2025-08-11,KPMG,105.71
2025-08-12,KPMG,105.73
2025-08-13,KPMG,105.75
2025-08-14,KPMG,105.56
2025-08-15,KPMG,105.59
2025-08-18,KPMG,105.61
2025-08-19,KPMG,105.63
2025-08-20,KPMG,105.65
2025-08-21,KPMG,105.67
2025-08-22,KPMG,105.69
2025-08-25,KPMG,105.71
2025-08-26,KPMG,105.73
2025-08-27,KPMG,105.75
2025-08-28,KPMG,105.56
2025-08-29,KPMG,105.59
2025-09-01,KPMG,105.61
2025-09-02,KPMG,105.63
2025-09-03,KPMG,105.65
2025-09-04,KPMG,105.67
2025-09-05,KPMG,105.69
2025-09-08,KPMG,105.71
2025-09-09,KPMG,105.73
2025-09-10,KPMG,105.75
2025-09-11,KPMG,105.56
2025-09-12,KPMG,105.59
2025-09-15,KPMG,105.61
2025-09-16,KPMG,105.63
2025-09-17,KPMG,105.65
2025-09-18,KPMG,105.67
2025-09-19,KPMG,105.69
2025-09-22,KPMG,105.71
2025-09-23,KPMG,105.73
2025-09-24,KPMG,105.75
2025-09-25,KPMG,105.56
2025-09-26,KPMG,105.59
2025-09-29,KPMG,105.61
2025-09-30,KPMG,105.63
2025-10-01,KPMG,105.65
2025-10-02,KPMG,105.67
2025-10-03,KPMG,105.69
2025-10-06,KPMG,105.71
2025-10-07,KPMG,105.73
2025-10-08,KPMG,105.75
2025-10-09,KPMG,105.56
2025-10-10,KPMG,105.59
2025-10-13,KPMG,105.61
2025-10-14,KPMG,105.63
2025-10-15,KPMG,105.65
2025-10-16,KPMG,105.67
2025-10-17,KPMG,105.69
2025-10-20,KPMG,105.71
2025-10-21,KPMG,105.73
2025-10-22,KPMG,105.75
2025-10-23,KPMG,105.56
2025-10-24,KPMG,105.59
2025-10-27,KPMG,105.61
2025-10-28,KPMG,105.63
2025-10-29,KPMG,105.65
2025-10-30,KPMG,105.67
2025-10-31,KPMG,105.69
2025-11-03,KPMG,105.71
2025-11-04,KPMG,105.73
2025-11-05,KPMG,105.75
2025-11-06,KPMG,105.56
2025-11-07,KPMG,105.59
2025-11-10,KPMG,105.61
2025-11-11,KPMG,105.63
2025-11-12,KPMG,105.65
2025-11-13,KPMG,105.67
2025-11-14,KPMG,105.69
2025-11-17,KPMG,105.71
2025-11-18,KPMG,105.73
2025-11-19,KPMG,105.75
2025-11-20,KPMG,105.56
2025-11-21,KPMG,105.59
2025-11-24,KPMG,105.61
2025-11-25,KPMG,105.63
2025-11-26,KPMG,105.65
2025-11-27,KPMG,105.67
2025-11-28,KPMG,105.69
2025-12-01,KPMG,105.71
2025-12-02,KPMG,105.73
2025-12-03,KPMG,105.75
2025-12-04,KPMG,105.56
2025-12-05,KPMG,105.59
2025-12-08,KPMG,105.61
2025-12-09,KPMG,105.63
2025-12-10,KPMG,105.65
2025-12-11,KPMG,105.67
2025-12-12,KPMG,105.69
2025-12-15,KPMG,105.71
2025-12-16,KPMG,105.73
2025-12-17,KPMG,105.75
2025-12-18,KPMG,105.56
2025-12-19,KPMG,105.59
2025-12-22,KPMG,105.61
2025-12-23,KPMG,105.63
2025-12-24,KPMG,105.65
2025-12-25,KPMG,105.67
2025-12-26,KPMG,105.69
2025-12-29,KPMG,105.71
2025-12-30,KPMG,105.73
2025-12-31,KPMG,105.75
