Date,Company,Price
2025-01-02,MCKINSEY,120.44
2025-01-03,MCKINSEY,120.46
2025-01-06,MCKINSEY,120.49
2025-01-07,MCKINSEY,120.51
2025-01-08,MCKINSEY,120.54
2025-01-09,MCKINSEY,120.56
2025-01-10,MCKINSEY,120.58
2025-01-13,MCKINSEY,120.61
2025-01-14,MCKINSEY,120.63
2025-01-15,MCKINSEY,120.66
2025-01-16,MCKINSEY,120.44
2025-01-17,MCKINSEY,120.46
2025-01-20,MCKINSEY,120.49
2025-01-21,MCKINSEY,120.51
2025-01-22,MCKINSEY,120.54
2025-01-23,MCKINSEY,120.56
2025-01-24,MCKINSEY,120.58
2025-01-27,MCKINSEY,120.61
2025-01-28,MCKINSEY,120.63
2025-01-29,MCKINSEY,120.66
2025-01-30,MCKINSEY,120.44
2025-01-31,MCKINSEY,120.46
2025-02-03,MCKINSEY,120.49
2025-02-04,MCKINSEY,120.51
2025-02-05,MCKINSEY,120.54
2025-02-06,MCKINSEY,120.56
2025-02-07,MCKINSEY,120.58
2025-02-10,MCKINSEY,120.61
2025-02-11,MCKINSEY,120.63
2025-02-12,MCKINSEY,120.66
2025-02-13,MCKINSEY,120.44
2025-02-14,MCKINSEY,120.46
2025-02-17,MCKINSEY,120.49
2025-02-18,MCKINSEY,120.51
2025-02-19,MCKINSEY,120.54
2025-02-20,MCKINSEY,120.56
2025-02-21,MCKINSEY,120.58
2025-02-24,MCKINSEY,120.61
2025-02-25,MCKINSEY,120.63
2025-02-26,MCKINSEY,120.66
2025-02-27,MCKINSEY,120.44
2025-02-28,MCKINSEY,120.46
2025-03-03,MCKINSEY,120.49
2025-03-04,MCKINSEY,120.51
2025-03-05,MCKINSEY,120.54
2025-03-06,MCKINSEY,120.56
2025-03-07,MCKINSEY,120.58
2025-03-10,MCKINSEY,120.61
2025-03-11,MCKINSEY,120.63
2025-03-12,MCKINSEY,120.66
2025-03-13,MCKINSEY,120.44
2025-03-14,MCKINSEY,120.46
2025-03-17,MCKINSEY,120.49
2025-03-18,MCKINSEY,120.51
2025-03-19,MCKINSEY,120.54
2025-03-20,MCKINSEY,120.56
2025-03-21,MCKINSEY,120.58
2025-03-24,MCKINSEY,120.61
2025-03-25,MCKINSEY,120.63
2025-03-26,MCKINSEY,120.66
2025-03-27,MCKINSEY,120.44
2025-03-28,MCKINSEY,120.46
2025-03-31,MCKINSEY,120.49
2025-04-01,MCKINSEY,120.51
2025-04-02,MCKINSEY,120.54
2025-04-03,MCKINSEY,120.56
2025-04-04,MCKINSEY,120.58
2025-04-07,MCKINSEY,120.61
2025-04-08,MCKINSEY,120.63
2025-04-09,MCKINSEY,120.66
2025-04-10,MCKINSEY,120.44
2025-04-11,MCKINSEY,120.46
2025-04-14,MCKINSEY,120.49
2025-04-15,MCKINSEY,120.51
2025-04-16,MCKINSEY,120.54
2025-04-17,MCKINSEY,120.56
2025-04-18,MCKINSEY,120.58
2025-04-21,MCKINSEY,120.61
2025-04-22,MCKINSEY,120.63
2025-04-23,MCKINSEY,120.66
2025-04-24,MCKINSEY,120.44
2025-04-25,MCKINSEY,120.46
2025-04-28,MCKINSEY,120.49
2025-04-29,MCKINSEY,120.51
2025-04-30,MCKINSEY,120.54
2025-05-01,MCKINSEY,120.56
2025-05-02,MCKINSEY,120.58
2025-05-05,MCKINSEY,120.61
2025-05-06,MCKINSEY,120.63
2025-05-07,MCKINSEY,120.66
2025-05-08,MCKINSEY,120.44
2025-05-09,MCKINSEY,120.46
2025-05-12,MCKINSEY,120.49
2025-05-13,MCKINSEY,120.51
2025-05-14,MCKINSEY,120.54
2025-05-15,MCKINSEY,120.56
2025-05-16,MCKINSEY,120.58
2025-05-19,MCKINSEY,120.61
2025-05-20,MCKINSEY,120.63
2025-05-21,MCKINSEY,120.66
2025-05-22,MCKINSEY,120.44
2025-05-23,MCKINSEY,120.46
2025-05-26,MCKINSEY,120.49
2025-05-27,MCKINSEY,120.51
2025-05-28,MCKINSEY,120.54
2025-05-29,MCKINSEY,120.56
2025-05-30,MCKINSEY,120.58
2025-06-02,MCKINSEY,120.61
2025-06-03,MCKINSEY,120.63
2025-06-04,MCKINSEY,120.66
2025-06-05,MCKINSEY,120.44
2025-06-06,MCKINSEY,120.46
2025-06-09,MCKINSEY,120.49
2025-06-10,MCKINSEY,120.51
2025-06-11,MCKINSEY,120.54
2025-06-12,MCKINSEY,120.56
2025-06-13,MCKINSEY,120.58
2025-06-16,MCKINSEY,120.61
2025-06-17,MCKINSEY,120.63
2025-06-18,MCKINSEY,120.66
2025-06-19,MCKINSEY,120.44
2025-06-20,MCKINSEY,120.46
2025-06-23,MCKINSEY,120.49
2025-06-24,MCKINSEY,120.51
2025-06-25,MCKINSEY,120.54
2025-06-26,MCKINSEY,120.56
2025-06-27,MCKINSEY,120.58
2025-06-30,MCKINSEY,120.61
2025-07-01,MCKINSEY,120.63
2025-07-02,MCKINSEY,120.66
2025-07-03,MCKINSEY,120.44
2025-07-04,MCKINSEY,120.46
2025-07-07,MCKINSEY,120.49
2025-07-08,MCKINSEY,120.51
2025-07-09,MCKINSEY,120.54
2025-07-10,MCKINSEY,120.56
2025-07-11,MCKINSEY,120.58
2025-07-14,MCKINSEY,120.61
2025-07-15,MCKINSEY,120.63
2025-07-16,MCKINSEY,120.66
2025-07-17,MCKINSEY,120.44
2025-07-18,MCKINSEY,120.46
2025-07-21,MCKINSEY,120.49
2025-07-22,MCKINSEY,120.51
2025-07-23,MCKINSEY,120.54
2025-07-24,MCKINSEY,120.56
2025-07-25,MCKINSEY,120.58
2025-07-28,MCKINSEY,120.61
2025-07-29,MCKINSEY,120.63
2025-07-30,MCKINSEY,120.66
2025-07-31,MCKINSEY,120.44
2025-08-01,MCKINSEY,120.46
2025-08-04,MCKINSEY,120.49
2025-08-05,MCKINSEY,120.51
2025-08-06,MCKINSEY,120.54
2025-08-07,MCKINSEY,120.56
2025-08-08,MCKINSEY,120.58
2025-08-11,MCKINSEY,120.61
2025-08-12,MCKINSEY,120.63
2025-08-13,MCKINSEY,120.66
2025-08-14,MCKINSEY,120.44
2025-08-15,MCKINSEY,120.46
2025-08-18,MCKINSEY,120.49
2025-08-19,MCKINSEY,120.51
2025-08-20,MCKINSEY,120.54
2025-08-21,MCKINSEY,120.56
2025-08-22,MCKINSEY,120.58
2025-08-25,MCKINSEY,120.61
2025-08-26,MCKINSEY,120.63
2025-08-27,MCKINSEY,120.66
2025-08-28,MCKINSEY,120.44
2025-08-29,MCKINSEY,120.46
2025-09-01,MCKINSEY,120.49
2025-09-02,MCKINSEY,120.51
2025-09-03,MCKINSEY,120.54
2025-09-04,MCKINSEY,120.56
2025-09-05,MCKINSEY,120.58
2025-09-08,MCKINSEY,120.61
2025-09-09,MCKINSEY,120.63
2025-09-10,MCKINSEY,120.66
2025-09-11,MCKINSEY,120.44
2025-09-12,MCKINSEY,120.46
2025-09-15,MCKINSEY,120.49
2025-09-16,MCKINSEY,120.51
2025-09-17,MCKINSEY,120.54
2025-09-18,MCKINSEY,120.56
2025-09-19,MCKINSEY,120.58
2025-09-22,MCKINSEY,120.61
2025-09-23,MCKINSEY,120.63
2025-09-24,MCKINSEY,120.66
2025-09-25,MCKINSEY,120.44
2025-09-26,MCKINSEY,120.46
2025-09-29,MCKINSEY,120.49
2025-09-30,MCKINSEY,120.51
2025-10-01,MCKINSEY,120.54
2025-10-02,MCKINSEY,120.56
2025-10-03,MCKINSEY,120.58
2025-10-06,MCKINSEY,120.61
2025-10-07,MCKINSEY,120.63
2025-10-08,MCKINSEY,120.66
2025-10-09,MCKINSEY,120.44
2025-10-10,MCKINSEY,120.46
2025-10-13,MCKINSEY,120.49
2025-10-14,MCKINSEY,120.51
2025-10-15,MCKINSEY,120.54
2025-10-16,MCKINSEY,120.56
2025-10-17,MCKINSEY,120.58
2025-10-20,MCKINSEY,120.61
2025-10-21,MCKINSEY,120.63
2025-10-22,MCKINSEY,120.66
2025-10-23,MCKINSEY,120.44
2025-10-24,MCKINSEY,120.46
2025-10-27,MCKINSEY,120.49
2025-10-28,MCKINSEY,120.51
2025-10-29,MCKINSEY,120.54
2025-10-30,MCKINSEY,120.56
2025-10-31,MCKINSEY,120.58
2025-11-03,MCKINSEY,120.61
2025-11-04,MCKINSEY,120.63
2025-11-05,MCKINSEY,120.66
2025-11-06,MCKINSEY,120.44
2025-11-07,MCKINSEY,120.46
