Date,Company,Price
2025-01-02,PWC,123.33
2025-01-03,PWC,123.35
2025-01-06,PWC,123.38
2025-01-07,PWC,123.4
2025-01-08,PWC,123.43
2025-01-09,PWC,123.45
2025-01-10,PWC,123.47
2025-01-13,PWC,123.5
2025-01-14,PWC,123.52
2025-01-15,PWC,123.55
2025-01-16,PWC,123.33
2025-01-17,PWC,123.35
2025-01-20,PWC,123.38
2025-01-21,PWC,123.4
2025-01-22,PWC,123.43
2025-01-23,PWC,123.45
2025-01-24,PWC,123.47
2025-01-27,PWC,123.5
2025-01-28,PWC,123.52
2025-01-29,PWC,123.55
2025-01-30,PWC,123.33
2025-01-31,PWC,123.35
2025-02-03,PWC,123.38
2025-02-04,PWC,123.4
2025-02-05,PWC,123.43
2025-02-06,PWC,123.45
2025-02-07,PWC,123.47
2025-02-10,PWC,123.5
2025-02-11,PWC,123.52
2025-02-12,PWC,123.55
2025-02-13,PWC,123.33
2025-02-14,PWC,123.35
2025-02-17,PWC,123.38
2025-02-18,PWC,123.4
2025-02-19,PWC,123.43
2025-02-20,PWC,123.45
2025-02-21,PWC,123.47
2025-02-24,PWC,123.5
2025-02-25,PWC,123.52
2025-02-26,PWC,123.55
2025-02-27,PWC,123.33
2025-02-28,PWC,123.35
2025-03-03,PWC,123.38
2025-03-04,PWC,123.4
2025-03-05,PWC,123.43
2025-03-06,PWC,123.45
2025-03-07,PWC,123.47
2025-03-10,PWC,123.5
2025-03-11,PWC,123.52
2025-03-12,PWC,123.55
2025-03-13,PWC,123.33
2025-03-14,PWC,123.35
2025-03-17,PWC,123.38
2025-03-18,PWC,123.4
2025-03-19,PWC,123.43
2025-03-20,PWC,123.45
2025-03-21,PWC,123.47
2025-03-24,PWC,123.5
2025-03-25,PWC,123.52
2025-03-26,PWC,123.55
2025-03-27,PWC,123.33
2025-03-28,PWC,123.35
2025-03-31,PWC,123.38
2025-04-01,PWC,123.4
2025-04-02,PWC,123.43
2025-04-03,PWC,123.45
2025-04-04,PWC,123.47
2025-04-07,PWC,123.5
2025-04-08,PWC,123.52
2025-04-09,PWC,123.55
2025-04-10,PWC,123.33
2025-04-11,PWC,123.35
2025-04-14,PWC,123.38
2025-04-15,PWC,123.4
2025-04-16,PWC,123.43
2025-04-17,PWC,123.45
2025-04-18,PWC,123.47
2025-04-21,PWC,123.5
2025-04-22,PWC,123.52
2025-04-23,PWC,123.55
2025-04-24,PWC,123.33
2025-04-25,PWC,123.35
2025-04-28,PWC,123.38
2025-04-29,PWC,123.4
2025-04-30,PWC,123.43
2025-05-01,PWC,123.45
2025-05-02,PWC,123.47
2025-05-05,PWC,123.5
2025-05-06,PWC,123.52
2025-05-07,PWC,123.55
2025-05-08,PWC,123.33
2025-05-09,PWC,123.35
2025-05-12,PWC,123.38
2025-05-13,PWC,123.4
2025-05-14,PWC,123.43
2025-05-15,PWC,123.45
2025-05-16,PWC,123.47
2025-05-19,PWC,123.5
2025-05-20,PWC,123.52
2025-05-21,PWC,123.55
2025-05-22,PWC,123.33
2025-05-23,PWC,123.35
2025-05-26,PWC,123.38
2025-05-27,PWC,123.4
2025-05-28,PWC,123.43
2025-05-29,PWC,123.45
2025-05-30,PWC,123.47
2025-06-02,PWC,123.5
2025-06-03,PWC,123.52
2025-06-04,PWC,123.55
2025-06-05,PWC,123.33
2025-06-06,PWC,123.35
2025-06-09,PWC,123.38
2025-06-10,PWC,123.4
2025-06-11,PWC,123.43
2025-06-12,PWC,123.45
2025-06-13,PWC,123.47
2025-06-16,PWC,123.5
2025-06-17,PWC,123.52
2025-06-18,PWC,123.55
